t,ecg
15.338656,552
15.338661,514
15.338665,568
15.338670,540
15.419831,509
15.419856,541
15.419862,527
15.419866,513
15.419871,513
15.419876,504
15.419880,457
15.419885,440
15.419889,395
15.419893,362
15.523643,341
15.523673,330
15.523678,135
15.523683,50
15.523687,99
15.523692,181
15.523696,215
15.523701,246
15.523705,283
15.523710,318
15.632383,398
15.632413,442
15.632418,478
15.632423,498
15.632427,505
15.632432,535
15.632437,562
15.632441,555
15.632446,593
15.632450,627
15.745889,639
15.745929,629
15.745936,662
15.745940,680
15.745945,652
15.745950,691
15.745955,687
15.745960,695
15.745964,712
15.745973,694
15.821157,691
15.821187,704
15.821193,712
15.821197,711
15.821202,714
15.821207,688
15.821211,663
15.821216,662
15.821220,677
15.821225,684
15.927385,691
15.927398,687
15.927403,691
15.927408,658
15.927413,643
15.927417,641
15.927422,667
15.927426,667
15.927430,583
15.927435,508
16.034893,326
16.034911,368
16.034916,528
16.034920,619
16.034925,664
16.034930,612
16.034934,561
16.034939,600
16.034943,600
16.034948,601
16.141140,584
16.141151,584
16.141156,580
16.141160,608
16.141165,583
16.141169,617
16.141174,583
16.141178,591
16.141182,595
16.141187,605
16.251162,585
16.251193,591
16.251198,593
16.251205,526
16.251210,417
16.251215,395
16.251219,422
16.251224,418
16.251228,459
16.251233,418
16.326131,513
16.326147,524
16.326151,540
16.326156,550
16.326161,544
16.326165,569
16.326169,566
16.326174,572
16.326178,607
16.326183,602
16.438635,581
16.438655,595
16.438660,565
16.438664,572
16.438669,591
16.438674,626
16.438678,577
16.438683,600
16.438687,610
16.438692,570
16.543658,589
16.543689,578
16.543694,606
16.543699,611
16.543703,604
16.543708,583
16.543712,586
16.543717,588
16.543721,591
16.543725,574
16.621157,590
16.621189,595
16.621194,594
16.621199,585
16.621203,578
16.621208,573
16.621212,569
16.621217,579
16.621221,577
16.621226,571
16.734886,588
16.734900,554
16.734905,581
16.734910,564
16.734915,563
16.734919,566
16.734923,536
16.734928,544
16.734932,565
16.734937,582
16.843778,543
16.843812,551
16.843817,543
16.843822,541
16.843826,541
16.843831,544
16.843835,556
16.843839,553
16.843844,565
16.843848,552
16.917402,557
16.917417,532
16.917422,558
16.917427,564
16.917431,557
16.917435,574
16.917440,558
16.917444,564
16.917449,560
16.917453,546
17.027435,551
17.027466,543
17.027471,573
17.027476,540
17.027480,567
17.027485,556
17.027489,585
17.027493,595
17.027498,559
17.027502,467
17.133673,302
17.133706,257
17.133711,446
17.133716,614
17.133721,687
17.133725,655
17.133729,641
17.133734,605
17.133738,592
17.133743,566
17.242431,624
17.242456,571
17.242461,600
17.242465,585
17.242470,569
17.242474,553
17.242479,563
17.242485,538
17.242490,560
17.242494,555
17.333659,572
17.333674,543
17.333680,553
17.333684,537
17.333688,519
17.333693,546
17.333698,519
17.333702,528
17.333707,545
17.333711,531
17.438697,541
17.438729,517
17.438734,516
17.438738,564
17.438743,565
17.438747,578
17.438752,591
17.438756,595
17.438761,583
17.438765,598
17.518721,590
17.518751,590
17.518756,567
17.518760,639
17.518765,612
17.518770,629
17.518774,658
17.518779,676
17.518783,669
17.518788,635
17.623698,652
17.623729,1022
17.623734,1023
17.623739,1023
17.623743,1023
17.623748,1023
17.623754,1023
17.623758,1022
17.623762,1010
17.623767,931
17.732412,856
17.732436,790
17.732442,743
17.732446,723
17.732450,656
17.732455,635
17.732460,587
17.732465,559
17.732469,511
17.732474,498
17.821180,479
17.821200,463
17.821205,435
17.821210,422
17.821214,643
17.821219,936
17.821224,917
17.821228,862
17.821233,798
17.821237,723
17.926190,675
17.926202,627
17.926207,563
17.926211,543
17.926216,536
17.926220,499
17.926225,482
17.926229,432
17.926234,406
17.926238,379
18.034912,358
18.034933,370
18.034938,365
18.034943,308
18.034947,357
18.034952,349
18.034956,366
18.034961,374
18.034965,357
18.034969,344
18.140068,324
18.140097,342
18.140111,329
18.140124,380
18.140137,369
18.140151,282
18.140164,146
18.140177,84
18.140190,212
18.140203,370
18.245106,455
18.245141,509
18.245155,472
18.245169,440
18.245182,483
18.245195,480
18.245209,478
18.245222,477
18.245235,495
18.245249,489
18.323837,474
18.323863,522
18.323877,517
18.323891,528
18.323905,531
18.323919,508
18.323932,510
18.323945,516
18.323958,500
18.323972,501
18.430079,486
18.430108,502
18.430122,526
18.430135,497
18.430149,476
18.430162,494
18.430175,483
18.430189,457
18.430202,466
18.430215,490
18.546370,446
18.546419,507
18.546434,486
18.546447,540
18.546461,569
18.546735,572
18.546761,546
18.546776,507
18.546792,547
18.546806,563
18.625124,566
18.625181,516
18.625197,495
18.625212,485
18.625228,484
18.625243,459
18.625257,426
18.625271,501
18.625284,467
18.625298,476
18.734229,507
18.734280,464
18.734296,457
18.734309,438
18.734321,447
18.734333,420
18.734344,407
18.734356,421
18.734367,456
18.734379,456
18.821308,457
18.821352,422
18.821367,426
18.821381,401
18.821394,418
18.821407,359
18.821421,406
18.821435,461
18.821450,458
18.821464,430
18.922611,441
18.922667,406
18.922683,429
18.922697,424
18.922711,416
18.922724,388
18.922740,479
18.922754,477
18.922768,465
18.922781,448
19.026344,447
19.026383,414
19.026397,423
19.026411,390
19.026424,437
19.026438,443
19.026450,452
19.026464,455
19.026479,455
19.026493,429
19.132611,449
19.132645,422
19.132659,349
19.132674,244
19.132687,139
19.132700,267
19.132714,467
19.132728,532
19.132741,531
19.132754,509
19.217552,493
19.217640,466
19.217662,466
19.217675,403
19.217689,485
19.217702,475
19.217715,454
19.217728,448
19.217741,461
19.217754,433
19.320144,423
19.320185,415
19.320208,437
19.320223,410
19.320237,447
19.320250,454
19.320263,455
19.320277,432
19.320290,432
19.320304,400
19.430119,411
19.430155,415
19.430170,418
19.430184,385
19.430197,409
19.430210,435
19.430224,447
19.430237,436
19.430253,449
19.430268,444
19.535131,450
19.535179,416
19.535194,470
19.535208,473
19.535221,462
19.535234,442
19.535248,452
19.535261,414
19.535275,389
19.535288,447
19.647862,457
19.647927,416
19.647944,451
19.647959,425
19.647985,458
19.648000,421
19.648015,441
19.648029,459
19.648042,474
19.648056,460
19.725226,468
19.725276,441
19.725286,453
19.725293,443
19.725301,431
19.725308,466
19.725316,477
19.725323,434
19.725330,467
19.725338,457
19.830021,456
19.830060,433
19.830070,440
19.830078,459
19.830089,426
19.830096,465
19.830104,478
19.830111,471
19.830118,480
19.830125,447
19.942717,453
19.942767,451
19.942782,422
19.942797,456
19.942811,493
19.942824,496
19.942837,496
19.942851,460
19.942863,477
19.942877,487
20.021388,503
20.021431,489
20.021447,498
20.021461,508
20.021484,547
20.021498,533
20.021512,550
20.021526,524
20.021539,487
20.021552,382
20.126405,236
20.126458,322
20.126474,512
20.126489,595
20.126502,655
20.126515,639
20.126529,611
20.126542,573
20.126555,583
